irliewijanarko,"setiap ngeliat ikoy2an gini , bawaannya mau iseng ikutan.. tp pas pertanyaannya kyk gini, jadi makin sadar kalo kadang suka lupa bersyukur atas apa yang dipunya.. nitip doa aja buat kita semua agar makin dikuatkan melewati masalah masing2, dan dimudahkan rejeki nya! aamiin !"
agnezputrii,"butuh 1 jt bang,teteh eca buat beli mixer ma loyang untuk jualan kue ,bismillah rezeki ..amin"
march_3li4,"pengen beli make up set buat belajar ngevlog jd beauty blogger,,tapi telat komennya,,kyknya gagal dpet deh niii😢"
sofia.marzuki,"kalau saya emang benar-benar lagi butuh min selain buat pulang kampung ketemu emak, anak saya juga butuh pengobatan yang harus di terapi, tiap minggu ke rumah sakit tapi belum ada perubahan, pngen rasanya berobat ke jakarta tapi belum punya uang karna saya juga belum dapat kerja selama satu tahun ini jadi untuk makan pun saya dikasih kakak.. jujur nulis ini sambil nangis semoga dapat rezeki buat emak saya dan anak saya minta @ikoy2an @ariefmuhammad @ecamaresha 😭😭 bantu doa guys semoga dapat rezeki buat nafil @sherli5006 @els_shop13 @veranitawahyuwidodo @maulinda_mau"
retnoheny,"curhat dikit ya, mimin. di dekat tempat kerjaku ada pangkalan becak yang kebanyakan dari mereka sudah sepuh. mereka ini mangkalnya dari pagi sampai malam, bahkan ada yang sampai dini hari. kalau dapat rezeki dari @ikoy2an buat dibeliin sembako untuk bantu mereka sama janda dan anak yatim di dekat rumah. sebelumnya pernah ngadain charity serupa. kami berkolaborasi dengan anak muda disini dan sanggar tari untuk bagi-bagi sembako. waktu itu kami bagi-bagi beras ke rumah warga prasejahtera dan panti asuhan. semoga kalau kali ini kebetulan mimin baca dan memang rezeki kami bisa terjun lagi untuk berbagi ke mereka yang betul-betul perlu dibantu. mimin juga boleh kasih masukkan loh mau dibagiin kemana rezekinya. in sya allah siap dokumentasi dan update rutin pemberian charitynya. salam ❤️"
rachmajoss,"belum pernah, dan pengen ngerasain dapat transferan dari kamu min @ikoy2an 😍😘🤗 biar bisa ikutan happy bareng"
lhusein_,bismillah min @ikoy2an @ecamaresha mau ajak anak2 yatim piatu dekat rumah belanja seragam  dan makan2 yang mereka suka tanpa lihat harga langsung bayar dan mau sedekah kemasjid dekat rumah semoga diijabah allah aamiin bantu doa yuk @syu_deaz12 @syukron1411 @fahrull_husein17
pujaamora22,"belum pernah ngajak ayah ibu, adek adek ku dan anak anak liburan min. maksudnya liburan keluarga gitu. smoga doa ku dikabulkan sama alloh. amin yaa rabb"
sherly_mamihracing,aku ibu rumah tangga suka bikin nasi bungkus seporsi 10.000 bisa hari jumat suka bagibagi nasi gratis . bisa di cek di @dapurmamihracing88  klo ada rezeki lebih pengen bagi bagi lebih banyak lagi buat orang orang di pinggir jalan 😇
diegodwisakti_,"bang saya ada ide bisnis dan sedang butuh modal buat jalannya, bisnisnya berjalan dibidang entertainment dan ritel, bakal launch di q1 2022 @brobrozone akun utama yang besok akan jalan sekalian promosi, butuh buat upgrade pc sama beli kamera min dan butuh di mentorin sama bang @ariefmuhammad barang kali diberi kesempatan dan di liat komennya🙌🔥🔥"
dndprds,"belum pernah punya kamera mirrorless. bismillah, dikabulkan biar bisa jadi freelance photographer. ❤️❤️❤️ @ikoy2an @rushyourtime"
